year_film,year_ceremony,ceremony,category,canon_category,name,film,winner,mapped_Category
,,,,,,,,
,,,,,,,,
,,,,,,,,
1935,1936,8,ACTOR,ACTOR IN A LEADING ROLE,Victor McLaglen,The Informer,TRUE,Actor in a Leading Role
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1935,1936,8,ACTRESS,ACTRESS IN A LEADING ROLE,Bette Davis,Dangerous,TRUE,Actress in a Leading Role
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1935,1936,8,DIRECTING,DIRECTING,John Ford,The Informer,TRUE,Directing
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1935,1936,8,OUTSTANDING PRODUCTION,BEST PICTURE,Metro-Goldwyn-Mayer,Mutiny on the Bounty,TRUE,Best Picture
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1935,1936,8,WRITING (Screenplay),WRITING (Adapted Screenplay),Dudley Nichols,The Informer,TRUE,Writing (Adapted Screenplay)
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1936,1937,9,ACTOR,ACTOR IN A LEADING ROLE,Paul Muni,The Story of Louis Pasteur,TRUE,Actor in a Leading Role
,,,,,,,,
,,,,,,,,
,,,,,,,,
1936,1937,9,ACTOR IN A SUPPORTING ROLE,ACTOR IN A SUPPORTING ROLE,Walter Brennan,Come and Get It,TRUE,Actor in a Supporting Role
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1936,1937,9,ACTRESS,ACTRESS IN A LEADING ROLE,Luise Rainer,The Great Ziegfeld,TRUE,Actress in a Leading Role
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1936,1937,9,ACTRESS IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,Gale Sondergaard,Anthony Adverse,TRUE,Actress in a Supporting Role
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
