year_film,year_ceremony,ceremony,category,canon_category,name,film,winner,mapped_Category.
1929,1930,3,ACTOR,ACTOR IN A LEADING ROLE,Ronald Colman,Bulldog Drummond,FALSE,Actor in a Leading Role
1929,1930,3,ACTOR,ACTOR IN A LEADING ROLE,Ronald Colman,Condemned,FALSE,Actor in a Leading Role
1929,1930,3,ACTOR,ACTOR IN A LEADING ROLE,Lawrence Tibbett,The Rogue Song,FALSE,Actor in a Leading Role
1929,1930,3,ACTRESS,ACTRESS IN A LEADING ROLE,Nancy Carroll,The Devil's Holiday,FALSE,Actress in a Leading Role
1929,1930,3,ACTRESS,ACTRESS IN A LEADING ROLE,Ruth Chatterton,Sarah and Son,FALSE,Actress in a Leading Role
1929,1930,3,ACTRESS,ACTRESS IN A LEADING ROLE,Greta Garbo,Anna Christie,FALSE,Actress in a Leading Role
1929,1930,3,ACTRESS,ACTRESS IN A LEADING ROLE,Greta Garbo,Romance,FALSE,Actress in a Leading Role
1929,1930,3,ACTRESS,ACTRESS IN A LEADING ROLE,Norma Shearer,The Divorcee,TRUE,Actress in a Leading Role
1929,1930,3,ACTRESS,ACTRESS IN A LEADING ROLE,Norma Shearer,Their Own Desire,FALSE,Actress in a Leading Role
1929,1930,3,ACTRESS,ACTRESS IN A LEADING ROLE,Gloria Swanson,The Trespasser,FALSE,Actress in a Leading Role
1929,1930,3,ART DIRECTION,ART DIRECTION,William Cameron Menzies,Bulldog Drummond,FALSE,Other
1929,1930,3,ART DIRECTION,ART DIRECTION,Herman Rosse,King of Jazz,TRUE,Other
1929,1930,3,ART DIRECTION,ART DIRECTION,Hans Dreier,The Love Parade,FALSE,Other
1929,1930,3,ART DIRECTION,ART DIRECTION,Jack Okey,Sally,FALSE,Other
1929,1930,3,ART DIRECTION,ART DIRECTION,Hans Dreier,The Vagabond King,FALSE,Other
1929,1930,3,CINEMATOGRAPHY,CINEMATOGRAPHY,Arthur Edeson,All Quiet on the Western Front,FALSE,Other
1929,1930,3,CINEMATOGRAPHY,CINEMATOGRAPHY,William Daniels,Anna Christie,FALSE,Other
1929,1930,3,CINEMATOGRAPHY,CINEMATOGRAPHY,Gaetano Gaudio/Harry Perry,Hell's Angels,FALSE,Other
1929,1930,3,CINEMATOGRAPHY,CINEMATOGRAPHY,Victor Milner,The Love Parade,FALSE,Other
1929,1930,3,CINEMATOGRAPHY,CINEMATOGRAPHY,Joseph T. Rucker/Willard Van Der Veer,With Byrd at the South Pole,TRUE,Other
1929,1930,3,DIRECTING,DIRECTING,Clarence Brown,Anna Christie,FALSE,Directing
1929,1930,3,DIRECTING,DIRECTING,Clarence Brown,Romance,FALSE,Directing
1929,1930,3,DIRECTING,DIRECTING,Robert Leonard,The Divorcee,FALSE,Directing
1929,1930,3,DIRECTING,DIRECTING,Ernst Lubitsch,The Love Parade,FALSE,Directing
1929,1930,3,DIRECTING,DIRECTING,Lewis Milestone,All Quiet on the Western Front,TRUE,Directing
1929,1930,3,DIRECTING,DIRECTING,King Vidor,Hallelujah,FALSE,Directing
1929,1930,3,OUTSTANDING PRODUCTION,BEST PICTURE,Universal,All Quiet on the Western Front,TRUE,Best Picture
1929,1930,3,OUTSTANDING PRODUCTION,BEST PICTURE,Cosmopolitan,The Big House,FALSE,Best Picture
1929,1930,3,OUTSTANDING PRODUCTION,BEST PICTURE,Warner Bros.,Disraeli,FALSE,Best Picture
1929,1930,3,OUTSTANDING PRODUCTION,BEST PICTURE,Metro-Goldwyn-Mayer,The Divorcee,FALSE,Best Picture
